City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
poum,-20.2333,164.0167,72.55,59,8,13.85,NC,1627438671
hunza,,,,,,,,
taolanaro,,,,,,,,
port alfred,-33.5906,26.891,60.94,85,16,15.01,ZA,1627438671
sinnamary,5.3833,-52.95,77.72,86,5,7.38,GF,1627438672
busselton,-33.65,115.3333,56.05,67,65,16.64,AU,1627438672
mataura,-46.1927,168.8643,51.48,74,68,1.28,NZ,1627438672
hermanus,-34.4187,19.2345,51.91,68,99,13.33,ZA,1627438672
punta arenas,-53.15,-70.9167,44.71,81,75,20.71,CL,1627438654
mama,58.3106,112.8986,79.9,51,100,3.29,RU,1627438673
saint-philippe,-21.3585,55.7679,66.22,86,99,12.75,RE,1627438673
thompson,55.7435,-97.8558,68.16,60,75,4.61,CA,1627438674
saint-augustin,51.226,-58.6502,60.4,99,100,7.67,CA,1627438674
nikolskoye,59.7035,30.7861,67.8,68,100,4.65,RU,1627438674
hithadhoo,-0.6,73.0833,80.46,78,72,8.86,MV,1627438599
chipinge,-20.1883,32.6236,44.91,93,0,2.75,ZW,1627438675
ushuaia,-54.8,-68.3,38.86,93,90,4.61,AR,1627438509
rikitea,-23.1203,-134.9692,74.03,78,100,15.28,PF,1627438675
marawi,7.9986,124.2928,84.65,55,88,7.92,PH,1627438675
faanui,-16.4833,-151.75,77.79,75,55,8.99,PF,1627438676
qeshm,26.9581,56.2719,91.27,75,88,2.13,IR,1627438676
grand-lahou,5.1367,-5.0242,75.36,84,74,9.42,CI,1627438676
victoria,22.2855,114.1577,93.96,79,99,1.01,HK,1627438677
ancud,-41.8697,-73.8203,42.33,86,70,3.29,CL,1627438677
dianopolis,,,,,,,,
jamestown,42.097,-79.2353,69.19,82,1,5.12,US,1627438677
nanortalik,60.1432,-45.2371,44.65,83,100,5.3,GL,1627438678
yian,,,,,,,,
tucuman,-26.8241,-65.2226,46.4,71,75,4.61,AR,1627438541
mahebourg,-20.4081,57.7,67.24,94,75,16.11,MU,1627438679
puerto ayora,-0.7393,-90.3518,71.49,84,20,9.24,EC,1627438679
vaini,-21.2,-175.2,69.96,83,75,8.05,TO,1627438679
creel,27.75,-107.6333,64.99,46,7,5.01,MX,1627438679
albany,42.6001,-73.9662,67.75,93,100,2.04,US,1627438680
bekhteyevka,50.8072,37.2085,63.5,53,51,3.36,RU,1627438680
codrington,-38.2667,141.9667,49.05,84,100,21.23,AU,1627438680
katherine,-14.4667,132.2667,86.32,45,32,3.44,AU,1627438680
